date,is_open,tdid,did
20190805,1,14745,107157
20190806,1,14746,107158
20190807,1,14747,107159
20190808,1,14748,107160
20190809,1,14749,107161
20190810,0,14749,107162
20190811,0,14749,107163
20190812,1,14750,107164
20190813,1,14751,107165
20190814,1,14752,107166
20190815,1,14753,107167
20190816,1,14754,107168
20190817,0,14754,107169
20190818,0,14754,107170
20190819,1,14755,107171
20190820,1,14756,107172
20190821,1,14757,107173
20190822,1,14758,107174
20190823,1,14759,107175
20190824,0,14759,107176
20190825,0,14759,107177
20190826,1,14760,107178
20190827,1,14761,107179
20190828,1,14762,107180
20190829,1,14763,107181
20190830,1,14764,107182
20190831,0,14764,107183
20190901,0,14764,107184
20190902,1,14765,107185
20190903,1,14766,107186
20190904,1,14767,107187
20190905,1,14768,107188
20190906,1,14769,107189
20190907,0,14769,107190
20190908,0,14769,107191
20190909,1,14770,107192
20190910,1,14771,107193
20190911,1,14772,107194
20190912,1,14773,107195
20190913,0,14773,107196
20190914,0,14773,107197
20190915,0,14773,107198
20190916,1,14774,107199
20190917,1,14775,107200
20190918,1,14776,107201
20190919,1,14777,107202
20190920,1,14778,107203
20190921,0,14778,107204
20190922,0,14778,107205
20190923,1,14779,107206
20190924,1,14780,107207
20190925,1,14781,107208
20190926,1,14782,107209
20190927,1,14783,107210
20190928,0,14783,107211
20190929,0,14783,107212
20190930,1,14784,107213
20191001,0,14784,107214
20191002,0,14784,107215
20191003,0,14784,107216
20191004,0,14784,107217
20191005,0,14784,107218
20191006,0,14784,107219
20191007,0,14784,107220
20191008,1,14785,107221
20191009,1,14786,107222
20191010,1,14787,107223
20191011,1,14788,107224
20191012,0,14788,107225
20191013,0,14788,107226
20191014,1,14789,107227
20191015,1,14790,107228
20191016,1,14791,107229
20191017,1,14792,107230
20191018,1,14793,107231
20191019,0,14793,107232
20191020,0,14793,107233
20191021,1,14794,107234
20191022,1,14795,107235
20191023,1,14796,107236
20191024,1,14797,107237
20191025,1,14798,107238
20191026,0,14798,107239
20191027,0,14798,107240
20191028,1,14799,107241
20191029,1,14800,107242
20191030,1,14801,107243
20191031,1,14802,107244
20191101,1,14803,107245
20191102,0,14803,107246
20191103,0,14803,107247
20191104,1,14804,107248
20191105,1,14805,107249
20191106,1,14806,107250
20191107,1,14807,107251
20191108,1,14808,107252
20191109,0,14808,107253
20191110,0,14808,107254
20191111,1,14809,107255
20191112,1,14810,107256
20191113,1,14811,107257
20191114,1,14812,107258
20191115,1,14813,107259
20191116,0,14813,107260
20191117,0,14813,107261
20191118,1,14814,107262
20191119,1,14815,107263
20191120,1,14816,107264
20191121,1,14817,107265
20191122,1,14818,107266
20191123,0,14818,107267
20191124,0,14818,107268
20191125,1,14819,107269
20191126,1,14820,107270
20191127,1,14821,107271
20191128,1,14822,107272
20191129,1,14823,107273
20191130,0,14823,107274
20191201,0,14823,107275
20191202,1,14824,107276
20191203,1,14825,107277
20191204,1,14826,107278
20191205,1,14827,107279
20191206,1,14828,107280
20191207,0,14828,107281
20191208,0,14828,107282
20191209,1,14829,107283
20191210,1,14830,107284
20191211,1,14831,107285
20191212,1,14832,107286
20191213,1,14833,107287
20191214,0,14833,107288
20191215,0,14833,107289
20191216,1,14834,107290
20191217,1,14835,107291
20191218,1,14836,107292
20191219,1,14837,107293
20191220,1,14838,107294
20191221,0,14838,107295
20191222,0,14838,107296
20191223,1,14839,107297
20191224,1,14840,107298
20191225,1,14841,107299
20191226,1,14842,107300
20191227,1,14843,107301
20191228,0,14843,107302
20191229,0,14843,107303
20191230,1,14844,107304
20191231,1,14845,107305
20200101,0,14845,107306
20200102,1,14846,107307
20200103,1,14847,107308
20200104,0,14847,107309
20200105,0,14847,107310
20200106,1,14848,107311
20200107,1,14849,107312
20200108,1,14850,107313
20200109,1,14851,107314
20200110,1,14852,107315
20200111,0,14852,107316
20200112,0,14852,107317
20200113,1,14853,107318
20200114,1,14854,107319
20200115,1,14855,107320
20200116,1,14856,107321
20200117,1,14857,107322
20200118,0,14857,107323
20200119,0,14857,107324
20200120,1,14858,107325
20200121,1,14859,107326
20200122,1,14860,107327
20200123,1,14861,107328
20200124,0,14861,107329
20200125,0,14861,107330
20200126,0,14861,107331
20200127,0,14861,107332
20200128,0,14861,107333
20200129,0,14861,107334
20200130,0,14861,107335
20200131,0,14861,107336
20200201,0,14861,107337
20200202,0,14861,107338
20200203,1,14862,107339
20200204,1,14863,107340
20200205,1,14864,107341
20200206,1,14865,107342
20200207,1,14866,107343
20200208,0,14866,107344
20200209,0,14866,107345
20200210,1,14867,107346
20200211,1,14868,107347
20200212,1,14869,107348
20200213,1,14870,107349
20200214,1,14871,107350
20200215,0,14871,107351
20200216,0,14871,107352
20200217,1,14872,107353
20200218,1,14873,107354
20200219,1,14874,107355
20200220,1,14875,107356
20200221,1,14876,107357
20200222,0,14876,107358
20200223,0,14876,107359
20200224,1,14877,107360
20200225,1,14878,107361
20200226,1,14879,107362
20200227,1,14880,107363
20200228,1,14881,107364
20200229,0,14881,107365
20200301,0,14881,107366
20200302,1,14882,107367
20200303,1,14883,107368
20200304,1,14884,107369
20200305,1,14885,107370
20200306,1,14886,107371
20200307,0,14886,107372
20200308,0,14886,107373
20200309,1,14887,107374
20200310,1,14888,107375
20200311,1,14889,107376
20200312,1,14890,107377
20200313,1,14891,107378
20200314,0,14891,107379
20200315,0,14891,107380
20200316,1,14892,107381
20200317,1,14893,107382
20200318,1,14894,107383
20200319,1,14895,107384
20200320,1,14896,107385
20200321,0,14896,107386
20200322,0,14896,107387
20200323,1,14897,107388
20200324,1,14898,107389
