ts_code,symbol,name,list_date,list_status
000888.SZ,000888,峨眉山A,19971021,L
000889.SZ,000889,中嘉博创,19971218,L
000890.SZ,000890,法尔胜,19990119,L
000892.SZ,000892,欢瑞世纪,19990115,L
000893.SZ,000893,亚钾国际,19981224,L
000895.SZ,000895,双汇发展,19981210,L
000897.SZ,000897,津滨发展,19990422,L
000898.SZ,000898,鞍钢股份,19971225,L
000899.SZ,000899,赣能股份,19971126,L
000900.SZ,000900,现代投资,19990128,L
000901.SZ,000901,航天科技,19990401,L
000902.SZ,000902,新洋丰,19990408,L
000903.SZ,000903,云内动力,19990415,L
000905.SZ,000905,厦门港务,19990429,L
000906.SZ,000906,浙商中拓,19990707,L
000908.SZ,000908,景峰医药,19990203,L
000909.SZ,000909,数源科技,19990507,L
000910.SZ,000910,大亚圣象,19990630,L
000911.SZ,000911,南宁糖业,19990527,L
000912.SZ,000912,泸天化,19990603,L
000913.SZ,000913,钱江摩托,19990514,L
000915.SZ,000915,华特达因,19990609,L
000917.SZ,000917,电广传媒,19990325,L
000918.SZ,000918,嘉凯城,19990720,L
000919.SZ,000919,金陵药业,19991118,L
000920.SZ,000920,沃顿科技,19990616,L
000921.SZ,000921,海信家电,19990713,L
000922.SZ,000922,佳电股份,19990618,L
000923.SZ,000923,河钢资源,19990714,L
000925.SZ,000925,众合科技,19990611,L
000926.SZ,000926,福星股份,19990618,L
000927.SZ,000927,中国铁物,19990727,L
000928.SZ,000928,中钢国际,19990312,L
000929.SZ,000929,兰州黄河,19990623,L
000930.SZ,000930,中粮科技,19990712,L
000931.SZ,000931,中关村,19990712,L
000932.SZ,000932,华菱钢铁,19990803,L
000933.SZ,000933,神火股份,19990831,L
000935.SZ,000935,四川双马,19990824,L
000936.SZ,000936,华西股份,19990810,L
000937.SZ,000937,冀中能源,19990909,L
000938.SZ,000938,紫光股份,19991104,L
000948.SZ,000948,南天信息,19991014,L
000949.SZ,000949,新乡化纤,19991021,L
000950.SZ,000950,重药控股,19990916,L
000951.SZ,000951,中国重汽,19991125,L
000952.SZ,000952,广济药业,19991112,L
000953.SZ,000953,河化股份,19991202,L
000955.SZ,000955,欣龙控股,19991209,L
000957.SZ,000957,中通客车,20000113,L
000958.SZ,000958,东方能源,19991223,L
000959.SZ,000959,首钢股份,19991216,L
000960.SZ,000960,锡业股份,20000221,L
000961.SZ,000961,中南建设,20000301,L
000962.SZ,000962,东方钽业,20000120,L
000963.SZ,000963,华东医药,20000127,L
000965.SZ,000965,天保基建,20000406,L
000966.SZ,000966,长源电力,20000316,L
000967.SZ,000967,盈峰环境,20000330,L
000968.SZ,000968,蓝焰控股,20000622,L
000969.SZ,000969,安泰科技,20000529,L
